"Dates","BE","CH","CZ","DE_AT","DK1","DK2","ES","FR","NL"
"20171210 - H9",34.11,58.06,21.53,27.85,27.85,27.85,31.37,31.37,39.5
"20171210 - H10",47.4,61.62,27.55,28.56,28.56,28.56,41.91,41.91,47.4
"20171210 - H11",52.01,62.54,28,29.15,29.15,29.15,50.62,50.62,52.01
"20171210 - H12",59.04,60.95,28,29.57,29.57,29.57,52.44,52.44,59.04
"20171210 - H13",59.7,59.88,26.59,29.26,29.26,29.26,53.5,53.5,59.7
"20171210 - H14",53.19,58.29,22.9,28.24,28.94,28.94,51.55,51.55,60.12
"20171210 - H15",44.65,57.96,21.18,25.07,28.94,28.94,45.03,40.69,58.9
"20171210 - H16",38.9,59.39,29.9,9.12,29.44,29.44,46.47,46.47,37.4
"20171210 - H17",43.4,61.04,32,9.19,30.27,30.27,42.89,42.89,39.3
"20171210 - H18",63.34,67.29,30,17.42,29.96,29.96,50.62,50.62,74.8
"20171210 - H19",76.12,68.62,23.73,15.02,29.46,29.46,56.79,56.79,52.4
"20171210 - H20",62,70.08,21.59,12.05,29.27,29.27,62.04,62.04,40
"20171210 - H21",42.68,67.61,27.08,12.27,28.71,28.71,63.6,63.6,39
"20171210 - H22",39.8,62.3,14.68,12.16,28.43,28.43,64.09,64.09,35.91
"20171210 - H23",36.34,61.61,13.03,14.81,27.93,27.93,59.8,59.8,34.9
"20171210 - H24",44.8,58.3,9.74,12.13,27.52,27.52,54.94,54.94,39.3
